검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
원전,내용,발전소주변지원사업 20년도 이월사업비 집행가능 기간 문의,"본인은 보령시 교성1리 이장입니다. 발전소주변지역지원사업 20년도 교부금으로 추진하고 있는 사업의 집행기간 및 회수 관련하여 질의코자 합니다.  최근 20년도 지원금의 집행기한은 21.12.31.이며 재이월이 불가하다는 말을 들었습니다. 우리 마을에는 20년도 사업비가 2억 이상 미집행인 상태로 19년 사업비를 6월까지 썻는데 20년을 또 12월까지 쓰라는 건 너무 촉박하다는 생각이 듭니다.  우리 마을은 보조금을 보령시로부터 받아 공사를 추진하고 있는데 만약 보조금을 못 준다고 하면 공사비를 마을회가 어떻게 감당하겠습니까?  각설, 질의내용은 다음과 같습니다. 만약 올해 20년도 이월사업을 추진하여 원인행위(마을회-공사업체 간 계약체결)할 경우 그 사업비는 21.12.31일 이후에도 집행 가능한지? (작년 사례에 준하여 원인행위 한 금액만큼은 유예기간을 주는지) 시청에 문의하여보니 자기들은 결정권이 없고 매년 공문이 오는 방침대로 시행할 뿐이라 하니, 결정권이 있는 산업부에서 꼭 답변을 부탁합니다. 마을 이장으로서 사업 진행 못하면 마을주민들의 원성을 사게되니 헤아리려서 꼭 조속한 답변 부탁합니다.","1. 안녕하십니까? 귀하께서 국민신문고에 제출하여 우리부로 접수된 민원(민원번호 : 1AA-2108-0873172)에 대한 검토 결과를 다음과 같이 알려드립니다.  2. 귀하의 민원 내용은 발전소주변지역 지원사업 '20년도 이월사업의 집행가능 기간과 관련한 질의로 판단되며, 이에 대해 아래와 같이 답변드립니다. ㅇ 귀하께서 질의하신 '20년도 지원금으로 추진하던 사업에 대해 1차로 이월된 경우 집행기간은 '21.12.31일까지가 원칙이며, 지출원인행위(공사계약체결 등)를 완료한 경우에는 부득이 '21.12.31일 이후 집행이 가능할 것으로 판단되나, 빠른 시일내 집행하여야 함을 알려드립니다.  3. 귀하의 민원에 대해 충분한 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 산업통상자원부 원전지역협력과 최일영 주무관(044-203-5293)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝. 2021-11-15",산업통상자원부 기획조정실 정책기획관 규제개혁법무담당관,발전소주변지역 지원에 관한 법률 /,2021-11-15
원전,내용,드론(무인비행장치) 비행승인이 필요한 지역은?,드론을 날릴경우 비행승인이 필요한 지역은 어디입니까?,"비행장 주변 관제권(반경 9.3km), 비행금지구역(서울 강북지역, 휴전선 및 원전 주변), 비행제한구역, 비행고도 150m 이상 구역을 비행할 경우, 야간에 비행하는경우, 가시권 밖 비행의 경우, 기체가 25kg을 초과하는 경우 비행승인이 필요합니다. (항공안전법 제127조 제2항, 같은 법 시행규칙 제308조 제2항 및 제310조 제1항3호) 2021-09-01",국토교통부 서울지방항공청 안전운항국 항공운항과,기타,2021-09-01
원전,내용,통제공역에서의 비행 허가,통제공역에서의 비행 허가,"평소 국토교통행정에 관심과 애정을 가져 주신 점 깊이 감사드리며, 문의하신 사항에 대하여 아래와 같이 답변 드립니다.  ㅇ 통제공역에서의 비행 허가 - 관련법령 : 항공안전법 제79조제2항, 같은 법 시행규칙 제222조 - 처리기간 : 1일 - 신청방법 : 원스탑 또는 서면(별지 제84호 서식) - 첨부서류 : 다음의 각호에 해당하는 서류 1. 통제공역 내 비행장 외 이착륙 목적 : 비행장이 아닌 곳에서의 이착륙 허가 사본 2. 통제공역 내 항공촬영 목적 : 국방부 촬영 허가 사본 - 관할공역 : P61B(고리), P62B(월성), P63B(한빛), P64B(한울) / 원전지역 A공역은 합참 공중종심작전과(02-748-3435)  추가 질문이 있을 경우에는 부산지방항공청 항공운항과(051-974-2155)로 전화 주시면 친절히 답변 드리겠습니다. 감사합니다. 2021-05-31",국토교통부 부산지방항공청 안전운항국 항공운항과,기타,2021-05-31
원전,내용,시민방사능 검사 청구제가 뭔가요? 어떻게 신청하는건가요?,시민방사능 검사 청구제가 뭔가요? 어떻게 신청하는건가요?,"일본 후쿠시마 원전 오염수 방출결정(2021.4.13.)에 따라 수입수산물 등에 대해 식품 안전성 관리를 강화하고 올바른 정보를 제공하고자‘시민 방사능 검사 청구제’를 운영, 시민들이 직접 식품에 대한 방사능 검사를 신청할 수 있도록 지원하고 있습니다. 신청서 작성 후 팩스, 우편 또는 직접 방문 접수 ※ 신청인이 신청한 대상식품(검체)은 서울시에서 해당 검체를 수거하여 검사의뢰 부득이하게 서울시에서 검체를 수거할 수 없는 경우에 한하여 신청인이 제출하는 검체로 검사 가능하나, 검체 구입 비용은 지불하지 않음 검사 수수료 : 없음(무료) 접 수 처 : 서울특별시 시민건강국 식품정책과 우 편 : 서울특별시 중구 세종대로 110(태평로1가 31) 서울특별시청 5층, 팩스 : 02-2133-4911 검사와 관련한 문의는 서울시 식품정책과(☏ 02-2133-4732)로 하여 주시기 바랍니다.   2022-04-13",서울특별시 강동구 감사담당관,기타,2022-04-13
원전,내용,주택가 드론 비행 신고여부(인천),"일반주택가에서 무인비행장치(드론)을 운행하려고 하는데, 신고해야 하나요? 관련법규를 알려주세요.","귀하의 민원은 주택가에서 드론을 이용할 경우 신고해야하는지 문의하신 것으로 이해됩니다.  드론이 최대이륙 중량 2kg 초과하면 소유자는 국토부장관에 신고해야 합니다.  드론에 대한 용어와 규정은 아래와 같으므로 참고하여 주시기 바랍니다.   1. 용어정리     - 초경량비행장치 : 항공기와 경량항공기 외 공기의 반작용으로 뜰 수 있는 장치로서 자체중량           좌석수 등 국토부령으로 지정      - 관제권 : 비행장 또는 공항과 그 주변의 공역으로서 항공교통의 안전을 위하여 국토교통부장관이           지정.공고한 공역      - 비행금지구역 : 안전, 국방상, 그 밖의 이유로 비행을 금지하는 공역           (서울 강북지역, 휴전선, 원전주변)      - 비행제한구역 : 항공사격, 대공사격 등으로 인한 위험으로 부터 항공기의 안전을 보호하거나            그 밖의 비행허가를 받지 않는 항공기의 비행을 제한하는 공역      - 최대이륙중량 : 항공기가 탑재물을 최대로 적재하고 이륙할 수 있는 최대 중량         2. 드론 소지 신고여부 확인   최대이륙 중량 2kg 초과 또는 모든 사업용 비행장치 소유자는 국토부장관(서울지방항공청)에  신고해야한다.        → 미신고 또는 변경 신고 없이 비행 : 형사처벌(항공안전법 제122조, 제123조, 제161조 제3항)  3. 조종자 증명 확인   250g 초과시 중량에 해당되는 종별(1~4종) 초경량비행장치 조종자 증명을 받아야 한다.    → 자격증 미취득 비행 : 과태료 (항공안전법 제125조)   4. 비행승인 및 가능구역 확인    - 지상고도 150m 이상, 관제권, 비행금지공역 비행 : 무게와 관계 없이 비행 승인 필요    - 최대이륙 중량이 25kg 이하 드론은‘비행금지공역 및 관제권’제외한 지상고도 150m 미만       승인 없이 비행 가능    - 25kg 초과 드론 초경량장치 비행구역 비행 : 승인 불필요        → 관제권, 비행 금지구역 등 미승인 비행 : 과태료(항공안전법 제166조 제3항)  5. 조종자 준수사항 이행 여부확인    무게, 용도 관계없이(12kg이하 단순 취미용 무인장치 포함) 모두에게 적용  ※ 항공안전법 제129조, 시행규칙 제310조 (조종자 준수사항) - 사고나 분실에 대비 장치에 소유자 이름, 연락처 기재 - 육안 거리내 비행 - 야간비행금지(일몰 후 ~ 일출 전) - 인구밀집지역에 위험한 방식으로 비행금지 - 음주상태 조종금지 - 비행중 낙하물 투하금지 - 항공촬영시 관할기관의 사전 승인 - 비행전 매뉴얼 숙지 - 전파인증 제품 사용 → 조종자 준수사항 위반시: 과태료(항공안전법 제166조)  6. 항공촬영 승인여부 확인  항공촬영 허가와 비행 승인은 별도이며, 항공촬영 목적으로 무인비행장치(드론) 이용시 국방부로부터  사전 허가 받아야 한다 → 미허가 촬영시: 과태료(조종자 준수사항 위반 해당) → 외부에서 집 내부 촬영시: 성폭력범죄의처벌등에관한특례법(카메라등불법촬영죄) → 공사장 내부 침입 촬영시: 현재 적용 가능 법조항 없음.   (드론은 물체이므로 현주건조물칩입죄 해당되지 않고, 개인정보보호법은 ‘고정형’ CCTV에 대해서만    초상권 보호 가능하여 의율 곤란)   □ 주요 처벌조항 (항공안전법 제161조, 제166조) 정리   불법사용 위규비행유형 처벌 및 행정처분 기준 징역 벌금 과태료 장치 신고 미신고 6개월 이하 500만원 이하   신고번호미표시 또는 거짓표시     100만원 이하 승인없이(미승인) 비행     200만원 이하 안정성 인증 없이 비행     500만원 이하 조종자 증명 없이 비행     300만원 이하 영리목적 사용 등록사업이외 6개월 이하 500만원 이하   보험미가입     500만원 이하 조종자 준수사항 미준수시     200만원 이하  □ 관련근거: 항공안전법, 국방부 초경량비행장치 비행승인업무 지침서 더 궁금한 사항은 국민신문고로 문의 바랍니다. 감사합니다.     2022-02-23",경찰청 인천광역시경찰청 인천삼산경찰서 청문감사인권관,"항공안전법 / 제166조(과태료)
항공안전법 / 제161조(초경량비행장치 불법 사용 등의 죄)
항공안전법 / 제160조(경량항공기 불법 사용 등의 죄)",2022-02-23
﻿검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
탈원전,내용,심야전기는 그때뿐이가,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원 (신청번호 OOO-OOOO-OOOOOOO)에 대한 조치결과를 다음과 같이 알려드립니다.   2. 귀하의 민원 내용은 심야전력 제도 및 높은 전기요금과 관련된 것으로 확인됩니다.   3. 심야전력제도는 전력설비를 효율적으로 이용하기 위하여 심야시간대에 값싼 전기요금을 적용하는 제도입니다.  - 1985년 심야전력제도가 도입되었으나 2000년대 이후 심야시간대 전력사용량이 급증함에 따라, 심야시간대에 피크가 발생하는 등 전력수급상황이 악화되어 심야전력 사용을 제한하고 요금 또한 지속 상승하였습니다.  - 심야전력의 요금제는 누진제를 적용하지는 않습니다. (주택용만 사용량에 따라 3단계 누진제 적용) 다만, 심야전력 요금단가가 꾸준히 상승하여 과거 대비 높게 체감될 수 있으며 이는 전력수급상황이 변한 데 따른 것으로 국가적 차원의 에너지 사용 효율을 위한 것입니다. [ 심야전력(갑)의 겨울철 요금단가 : 2000년도 23.2원 / 2010년 60.8원 ☞ 2021년 현재 71.8원*] * 71.8원 : 주택용 전기의 1단계 88.3원의 81%수준  - 지난 36년간 버스요금이 10배 상승한데 비하면 전기요금은 2배정도 상승했습니다. 전기요금은 타 공공요금에 비해 상승이 미미하고 미국, 유럽 등 선진국과 주택용 전기요금을 비교해도 한국이 낮은 수준입니다.  - 탈원전, 나주 한전공대 설립 등 정부 정책적인 부분에 대해서 한전에서 세세한 설명을 드리긴 힘드나 올해 한전 적자의 가장 큰 원인은 국제유가 상승에 따른 연료비와 전력구입비의 폭증이 전기요금에 반영되지 못하는 구조적인 문제가 있습니다. 향후 합리적인 요금체계 개편을 위해 지속적으로 노력하고 고객서비스 향상을 위하여 최선을 다하겠습니다.   4. 답변 내용에 대한 추가설명이나 더 필요하신 사항이 있으신 경우 한국전력공사 동대구지사 요금관리부 임성조차장(☏OOO-OOO-OOOO)에게 연락주시면 감사하겠습니다.   2021-11-23",한국전력공사 대구지역본부 동대구지사,기타,2021-11-23
﻿검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
기후 변화,제목,소방관 채용 할 때는 기후변화 반영해주세요,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 : 1AA-1912-643177)에 대하여 다음과 같이 답변 드립니다. 2. 귀하의 민원내용은 기후변화, 실외기 먼지 화재, 용접 화재 등을 채용시험에 포함해 달라는 것으로 이해됩니다. 3. 귀하께서 건의해주신 바와 같이 소방공무원 채용시험 시 각종 화재에 전문성 있는 시험과목을 포함하는 방안을 강구하도록 노력하겠습니다. 4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 소방청 운영지원과 소방경 OOO(☎ OOO-OOO-OOOO)에게 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2020-01-07",소방청 운영지원과,기타,2020-01-07
기후 변화,내용,탄소배출권 관련 문의입니다.,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.  2. 귀하의 민원내용은‘탄소배출권 관련 자료 요청'에 관한 것으로 판단됩니다.  3. 귀하의 질의사항에 대해 한국동서발전(주)에서 검토한 의견은 다음과 같습니다. 가. 한국동서발전 연도별 탄소배출권 할당량 및 배출량(단위 : 만톤) - 2016년 : 할당량 4,152, 배출량 3,974 - 2017년 : 할당량 3,967, 배출량 3,858 - 2018년 : 할당량 3,962 배출량 3,952 - 2019년 이후 : 배출권 거래제 이행중 ※ 탄소배출권 관련 별도 납부 금액은 없으며 한국동서발전(주)는 배출권 거래제 관련한 의무를 100% 이행중 나. 이와 별개로 탄소배출권과 관련한 배출권 총수량, 할당량, 취소량, 제출량 등은 배출권등록부시스템 정보공개(http://etrs.gir.go.kr)에서 확인이 가능합니다.  4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 한국동서발전(주) 기후환경실 기후변화대책부(☏OOO-OOOO-OOOO)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2020-07-27",한국동서발전 감사실,기타,2020-07-27
기후 변화,내용,소방관 채용 할 때는 기후변화 반영해주세요,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 : 1AA-1912-643177)에 대하여 다음과 같이 답변 드립니다. 2. 귀하의 민원내용은 기후변화, 실외기 먼지 화재, 용접 화재 등을 채용시험에 포함해 달라는 것으로 이해됩니다. 3. 귀하께서 건의해주신 바와 같이 소방공무원 채용시험 시 각종 화재에 전문성 있는 시험과목을 포함하는 방안을 강구하도록 노력하겠습니다. 4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 소방청 운영지원과 소방경 OOO(☎ OOO-OOO-OOOO)에게 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2020-01-07",소방청 운영지원과,기타,2020-01-07
기후 변화,제목,기후변화 대응으로 태양광제도를 변경해야 합니다.,,"1. 안녕하십니까. 한국에너지공단 태양광사업실입니다.  2. 귀하의 민원(신청번호 OOO-OOOO-OOOOOOO)은 옥상, 농수로 등 유휴부지를 활용한 태양광 보급확대를 제안해주신 사항으로 이해됩니다. 이에 귀하께서 문의하신 내용에 대하여 다음과 같이 알려 드립니다.  ㅇ 한국수자원공사는 경남 합천댐 등 공유수면을 활용한 수상태양광 사업을 추진 중이며, 이를 더욱 확대해나갈 예정입니다.  ㅇ 또한, 모기관에서 농업 용배수로를 활용한 태양광 사업을 검토 중인 것으로 확인됩니다. 상세 내용은 확정된 사안이 없으므로 세부적으로 전달하기 어려운 점을 양해 바랍니다.  ㅇ 한국에너지공단과 한국산업단지공단은 산업단지 태양광 융자지원 사업을 통해 공장 지붕 위 태양광 발전설비 보급 확대를 지원하고 있습니다.  ㅇ 이처럼 다수의 유관 기관이 유휴부지를 활용한 여러 사업을 통해 태양광 발전 보급에 노력을 기울이고 있습니다.  ㅇ 신ㆍ재생에너지 보급 확대에 대한 귀하의 관심과 제안에 감사드리며, 탄소 중립 이행을 위해 앞으로 더욱 다양한 방안을 마련할 수 있도록 힘쓰겠습니다.  3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우, 한국에너지공단 태양광사업실(OOO-OOO-OOOO)로 연락해주시면 상세히 안내 드리겠습니다. 감사합니다. 2021-08-13",한국에너지공단 신재생에너지센터 태양광사업실,신에너지 및 재생에너지 개발ㆍ이용ㆍ보급 촉진법 / 제4조(시책과 장려 등),2021-08-13
기후 변화,제목,기후변화 적응대책,동래구 기후변화 적응대책 수립은 어떤식으로 이루어지나요?,"▷ 근 거 :「저탄소 녹색성장 기본법」제48조, 같은법 시행령 38조 ❍ 소관사항에 대하여 세부시행계획 수립․시행   ▷ 목 적 ❍ 기후변화로 인해 발생하는 부정적인 영향을 줄이고 긍정적인 영향을 극대화하기 위한 지역차원의 법정계획 수립 ❍ 기후변화 악영향으로 예상되는 재난 등 예방(적응) 대책 마련   ▷ 계획기간 : 5년(‘20. 1. 1. ~ ‘24. 12. 31.) ➢ 국가기후변화 적응대책 연동 5년 단위 추진   ▷ 적응대책(시행계획) : 5개 부문, 29개 세부사업 ❍ 건강 8개 사업, 물관리 2개 사업, 재난/재해 8개 사업,    산림/생태계 9개 사업, 교육/홍보 2개 사업         2021-07-27",부산광역시 동래구 문화환경국 환경위생과,저탄소 녹색성장 기본법 / 제48조(기후변화 영향평가 및 적응대책의 추진),2021-07-27
기후 변화,제목,기후는 왜 변화고 이산화탄소는 어디에서 오는 것일까?,안녕하세요. 우리들이 흔히 기후는 변하고 이산화탄소 때문에 지구의 온도가 상승한다고 말을 하는데 그럼 기후는 왜 변화고 이산화탄소는 어디에서 오는 것일까?,"안녕하세요. 기상청 업무에 관심을 가져 주셔서 감사합니다. 현재 우리는 이산화탄소의 농도 증가와 이로 인한 기후변화를 염려하고 있습니다.   그러면 기후는 왜 변할까? 기후변화의 원인에는 여러가지로 나누어질 수 있습니다.  (1) 태양으로부터 지구에 도달하는 태양에너지의 변화와 화산활동 등 자연적인 변화와  (2) 인간의 활동에 의한 온실가스 배출 등이 있습니다. 자연적인 원인이던, 인위적인 원인이던 이산화탄소의 농도 증가와 지구의 온도 상승은 직접적인 상관성이 있습니다.   그럼 현재 지구상에 이산화탄소는 어디서 오는 것일까? 이산화탄소의 근원지는  (1) 바다 밑의 화산활동,  (2) 플랑크톤의 호흡,  (3) 바다 속 생물체의 용해,  (4) 육상암석의 풍화작용,  (5) 바다 속의 흙(퇴적물),  (6) 인간의 화석연료 사용등 다양합니다.   다만 최근 기후변화(전지구평균기온의 급격한 상승)는 산업혁명 이후 인간이 배출한 온실가스(이산화탄소 등)가 원인입니다.(IPCC 제5차 평가보고서, 과학적 근거, 2013) 인간이 화석연료를 사용할 때 나오는 이산화탄소는 온실효과를 일으켜 지구의 기온을 상승시키기 때문입니다.   항상 기상청에 관심을 가져 주셔서 진심으로 감사 드리며 언제나 행복과 즐거움이 가득하길 바랍니다. 그 밖의 궁금하신 사항에 대해서는 언제든지 담당자에게 문의해 주시면 성심성의껏 답변 드리겠습니다. * 담당자 : 기후과학국 기후변화감시과, Tel.02-2181-0645   2021-05-18",기상청 기후과학국 기후변화감시과,기상법 / 제21조(기후감시 및 영향조사 등),2021-05-18
기후 변화,제목,기후변화 시나리오는 무엇인가요?,기후변화시나리오는 무엇인가요?,"안녕하세요, 기상청 업무에 관심을 가져 주셔서 감사합니다. “현재 추세대로 온실가스를 배출한다면 2100년의 기후는 어떻게 될까?”, “기온과 강수량은 얼마나 변하며, 이로 인한 영향은 어느 정도일까?” 기상청은 이런 질문에 대한 예측 정보를 생산하고 있습니다. 이것이 바로 기후변화 시나리오입니다. 이는 온실가스, 에어로졸의 변화 등 인위적인 원인에 따른 기후변화를 조사하기 위해 기후변화모델을 이용하여 기온, 강수, 습도, 바람 등 미래기후를 예측한 정보입니다. 기후변화 시나리오는 온실가스 증가추세에 따라 네 가지 경우로 구분해서 만들어집니다. 이 중 온실가스를 현재 추세대로 배출하는 RCP(Representative Concentration Pathways) 8.5의 경우 21세기 말 이산화탄소 농도가 940ppm에 도달한다면, 현재(1981~2010년)보다 지구의 기온은 4.0℃, 한반도의 기온은 4.7℃ 오르고 지구의 강수량은 4.5%, 한반도의 강수량은 13.1% 증가합니다. 이와 같이 예측된 시나리오는 식량 생산, 병해충 발생, 수자원 관리, 산림 생태계 변화, 재해 등 여러 분야에서 피해를 최소화하고 미래를 준비하는데 유용하게 활용됩니다. 그 밖에 궁금하신 사항이 있으시면 언제든지 문의해 주시면 성심성의껏 답변 드리겠습니다. 감사합니다. 담당자 : 부산지방기상청 기후서비스과, 전화 051-718-0421   2021-05-14",기상청 부산지방기상청 기후서비스과,"기상법 / 제21조(기후감시 및 영향조사 등)
기상법 / 제2조(정의)",2021-05-14
기후 변화,제목,기후변화의 과학적 근거는 무엇인가요?,기후변화의 과학적 근거는 무엇인가요?,"기후변화의 과학적 근거는 여러가지가 있지만, 그 중 가장 대표적인 것들에 대해 말씀드리겠습니다. 2014년 11월 1일 승인된 IPCC 제5차 평가보고서에 의하면,  ○ 전지구 평균기온은 지난 133년간(1880~2012년) 0.85℃(0.65~1.06℃) 상승하였으며,     평균 해수면은 110년간(1901~2010년) 19cm(17~21cm) 상승하였습니다.  ○ 지구의 평균기온은 1850년 이래 지난 30년(1983~2012년) 동안이 가장 더웠습니다.  ○ 지구의 빙상과 빙하의 양은 줄고 있으며, 지난 34년(1979~2012) 동안 북극 해빙은 연평균 면적이    10년에 3.5~4.1%의 비율로 감소하였습니다.    ○  기후변화에 따라 해양 고수온 강도와 일수 또한 뚜렷히 증가(1982년 이후 2배 증가)하였습니다.     * IPCC 해양 및 빙권 특별보고서(2019)  더 궁금하신 사항이 있으시면 기상청 기후정책과(02-2181-0404)로 연락주시면 친절히 안내해 드리겠습니다. 2021-05-14",기상청 기후과학국 기후정책과,기상청과 그 소속기관 직제 시행규칙 / 제8조(기후과학국),2021-05-14
기후 변화,내용,충북지역 맞춤형 기상기후정보,충북지역 맞춤형 기상기후정보에는 어떤게 있나요?,"안녕하세요? 평소 기상업무에 관심을 가져주셔서 감사드리며, 귀하의 질문에 답변을 드리도록 하겠습니다.   기후변화에 따른 각 산업분야별 적응능력 향상을 통해 지역경제 활성화에 기여하고자 청주기상지청 기후서비스과에서는 ‘ONE지자체-ONE서비스‘라는 지자체별 맞춤형 기상기후서비스를 제공하고 있습니다.   현재 충청북도의 6개 시·군(증평군, 단양군, 옥천군, 괴산군, 보은군, 충주시)을 대상으로 증평 농업방제 기상기후정보, 단양 Healbeing 기상기후정보, 옥천 농업방제 기상기후정보, 괴산 유기농업군 맞춤형기상기후정보, 황토대추 생산성 향상을위한 기상기후정보, 충주 에코-그린 기상기후정보를 제공하고 있습니다. 모든 서비스는 각 지자체 홈페이지 및 청주기상지청 블로그(청주 기후樂) 에서 쉽게 확인 하실 수 있습니다.   그 밖에 궁금하신 사항은 청주기상지청 기후서비스과(070-7850-4386)로 문의해주시면 언제든지 성심성의껏 답변 드리도록 하겠습니다. 2021-12-28",기상청 대전지방기상청 청주기상지청 기후서비스과,기상법 / 제34조(기상현상 및 기후 분야에 관한 지식보급),2021-12-28
기후 변화,내용,기후와 날씨 차이,기후와 날씨는 다른 의미인가요?,"  기후와 날씨는 비슷한 의미로 사용되는 것 같지만, 동일한 개념은 아닙니다. 기후는 어떤 지역에서 규칙적으로 되풀이되는 일정 기간의 평균적인 기상 상황으로, 대기의 종합 상태 또는 대기 현상의 적분 결과라고 할 수 있습니다. 따라서 기후는 장소에 따라 달라지지만 같은 장소에서는 일정한 것이 보통입니다. 그러나 기후도 엄밀히 말하면 일정한 것이 아니고 수십 년 또는 수백 년이라는 긴 주기를 가지고 변화되어 갑니다. 세계기상기구에서는 30년 동안의 평균값을 기준으로 삼고 있습니다. 반면 날씨는 특정 지역에서 임의의 때에 나타나는 종합적인 기상 상태를 말합니다. 보통 기압?기온?습도?바람?구름의 양?구름의 형태?강수량?일조 등으로 표시하고 있습니다. 국내외에서 교환되는 일정 시각에 관한 일기예보에는 이 요소들이 대부분 포함되어 있습니다. 또한 국제적인 일기도에서는 세계기상기구에서 정한, 구름이 없는 '00' 상태에서부터 천둥이 치는 '99'까지 100종류의 기호로 표시하고 있습니다. 2021-12-23",기상청 수도권기상청 기후서비스과,기타,2021-12-23
기후 변화,내용,바닷물로 벼 재배,안녕하세요! 얼마전 울산과기대에서 바닷물을 작은 기계에 넣고 하루 두면 식수가 되는 것을 발명했다고 합니다. 이런 태양광을 이용한 것으로 농사에 쓰는 물을 만들긴 어린이 장난 같겠죠.  사막국가에서 자가 쌀 생산 욕구는 나날이 심한 이유는 더욱 불안정해져 가는 세계 정세이기 때문입니다 아예 바닷가에서 생육하는 식물과 벼와 잘 조합해서 바닷물을 머금어도 사는 벼를 만들 연구는 안되나요?  한번 참고해 보시라고 올립니다.,"귀하의 민원내용은 “바닷가에서 생육하는 식물과 벼를 조합해서 바닷물을 머금어도 사는 벼”에 관한 것으로 이해됩니다.  ○ 질의 내용 “바닷가에서 생육하는 식물과 벼를 조합해서 바닷물을 머금어도 사는 벼”에 대하여 > 세계적으로 쌀 소비량은 매년 증가하는 추세이며 2017-18년 쌀 소비량은 4억 8천만 톤이었습니다. 또한 인구증가에 따라 쌀 수요는 증가할 것이고 기후변화는 흉년이들 가능성을 높게 만들었습니다. 따라서 안정된 쌀 생산을 위해 육종가들은 병해충에 강하고, 이상기후, 재해에도 피해가 적은 품종 육성을 위하여 노력하고 있습니다. 민원인의 제안 내용을 검토해 보면 아래와 같습니다. - 바닷물을 이용해서 식수를 만드는 일은 현재 많이 사용하고 있는 기술이지만 문제는 경제성입니다. 보통 벼는 염분이 있는 논에서 재배하려면 민물을 2-3일 간격으로 대며 염분을 씻어주고 비료를 더 많이 주며 재배하는 방법을 쓰기 때문에 노동력과 물이 더 필요하고 염분농도가 0.9% 이상에서는 벼 재배가 불가능합니다.(바닷물 염농도는 약 3.5%) - 동남아지역에 재배되는 벼 중 일부 재래종은 높은 염분농도에도 재배가 되고 있으며 대표적인 것이 인도의 포카리 품종입니다. 그러나 짠물에서 벼를 재배하면 벼 잎에서 증산작용으로 잎의 소금 농도가 높아져 말라죽고, 논물에 염분이 있으면 물이 증발하면서 농도가 점점 높아지고 바닷물 보다 더 짠물이 되므로 바닷물 정도의 염분농도에서 자라는 벼를 만든다 해도 실제로는 재배할 수가 없는 상황이 됩니다. - 현재 세계적으로 염해가 있는 나라에서는 염분에 강한 벼를 꾸준히 육종하고 있습니다. 민원인께서 제안한 바닷가에서 생육하는 식물을 이용한 벼 육종은 기존의 육종방법(교배육종, 약배양 등)으로 불가능하기 때문에 이론적으로는 첨단 육종방법인 유전공학기법을 이용한 내염성 유전자를 벼에 이식하는 방법으로 새로운 벼를 만들 수 있으나 아직은 기대하는 정도의 성과는 없습니다. 2021-12-22",농촌진흥청 기획조정관 고객지원담당관,민원사무 처리에 관한 법률 /,2021-12-22
